Pulled,Venue,Location,PdfFile,Page,PriceEUR,ItemGuess,Slug
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Decouverte.pdf,1,140,MENU DÉCOUVERTE,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Decouverte.pdf,1,40,"Langoustines, coquillages, agrumes avec caviar Impérial de Sologne",disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Decouverte.pdf,2,140,DISCOVERY,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Decouverte.pdf,2,40,"Langoustine, shelfish, citrus fruits add-on of Impérial Sologne caviar",disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,1,200,MENU DÉGUSTATION,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,1,60,Accord mets et vins en temps La profondeur des vins rouges,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,1,110,La profondeur des vins rouges L’harmonie des rouges et des blancs,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,1,120,L’harmonie des rouges et des La célébration en bulles,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,2,200,TASTING,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,2,60,Food and wine pairing in stages The depth of red wine,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,2,110,The depth of red wine The harmony of red and white wine,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,2,120,The harmony of red and white A celebration in bubbles,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,3,200,MENU VÉGÉTARIEN,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,3,60,Accord mets et vins en temps La profondeur des vins rouges,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,3,110,La profondeur des vins rouges L’harmonie des rouges et des blancs,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,3,120,L’harmonie des rouges et des La célébration en bulles,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,4,200,VEGETARIAN,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,4,60,Food and wine pairing in stages The depth of red wine,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,4,110,The depth of red wine The harmony of red and white wine,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Degustation.pdf,4,120,The harmony of red and white A celebration in bubbles,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Enfant.pdf,1,70,MENU POUR ENFANTS,disneyland-hotel/la-foret-secrete-par-jean-imbert
